tanggal;bulan;tahun;nilai;nama;kategori
2020-04-20;April;2020;185;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-04-21;April;2020;375;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-04-22;April;2020;283;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-04-23;April;2020;357;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-04-24;April;2020;436;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-04-25;April;2020;396;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-04-26;April;2020;275;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-04-27;April;2020;214;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-04-28;April;2020;415;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-04-29;April;2020;200;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-04-30;April;2020;407;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-05-01;Mei;2020;433;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-05-02;Mei;2020;292;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-05-03;Mei;2020;349;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-05-04;Mei;2020;395;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-05-05;Mei;2020;484;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-05-06;Mei;2020;367;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-05-07;Mei;2020;338;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-05-08;Mei;2020;336;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-05-09;Mei;2020;533;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-05-10;Mei;2020;387;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-05-11;Mei;2020;233;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-05-12;Mei;2020;484;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-05-13;Mei;2020;689;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-05-14;Mei;2020;568;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-05-15;Mei;2020;490;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-05-16;Mei;2020;529;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-05-17;Mei;2020;489;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-05-18;Mei;2020;496;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-05-19;Mei;2020;486;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-05-20;Mei;2020;693;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-05-21;Mei;2020;973;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-05-22;Mei;2020;634;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-05-23;Mei;2020;949;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-05-24;Mei;2020;526;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-05-25;Mei;2020;479;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-05-26;Mei;2020;415;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-05-27;Mei;2020;686;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-05-28;Mei;2020;687;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-05-29;Mei;2020;678;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-05-30;Mei;2020;557;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-05-31;Mei;2020;700;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-06-01;Juni;2020;467;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-06-02;Juni;2020;609;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-06-03;Juni;2020;684;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-06-04;Juni;2020;585;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-06-05;Juni;2020;703;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-06-06;Juni;2020;993;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-06-07;Juni;2020;672;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-06-08;Juni;2020;847;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-06-09;Juni;2020;1043;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-06-10;Juni;2020;1240;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-06-11;Juni;2020;979;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-06-12;Juni;2020;1111;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-06-13;Juni;2020;1014;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-06-14;Juni;2020;857;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-06-15;Juni;2020;1017;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-06-16;Juni;2020;1106;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-06-17;Juni;2020;1031;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-06-18;Juni;2020;1331;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-06-19;Juni;2020;1041;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-06-20;Juni;2020;1226;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-06-21;Juni;2020;862;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-06-22;Juni;2020;954;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-06-23;Juni;2020;1051;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-06-24;Juni;2020;1113;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-06-25;Juni;2020;1178;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-06-26;Juni;2020;1240;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-06-27;Juni;2020;1385;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-06-28;Juni;2020;1198;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-06-29;Juni;2020;1082;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-06-30;Juni;2020;1293;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-07-01;Juli;2020;1385;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-07-02;Juli;2020;1624;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-07-03;Juli;2020;1301;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-07-04;Juli;2020;1447;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-07-05;Juli;2020;1607;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-07-06;Juli;2020;1209;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-07-07;Juli;2020;1268;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-07-08;Juli;2020;1853;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-07-09;Juli;2020;2657;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-07-10;Juli;2020;1611;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-07-11;Juli;2020;1671;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-07-12;Juli;2020;1681;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-07-13;Juli;2020;1282;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-07-14;Juli;2020;1591;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-07-15;Juli;2020;1522;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-07-16;Juli;2020;1574;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-07-17;Juli;2020;1462;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-07-18;Juli;2020;1752;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-07-19;Juli;2020;1639;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-07-20;Juli;2020;1693;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-07-21;Juli;2020;1655;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-07-22;Juli;2020;1882;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
2020-07-23;Juli;2020;1906;Terkonfirmasi (orang/hari);Terkonfirmasi Harian
