tanggal;propinsi;nilai;kategori;pulau
2020-03-23;Maluku Utara;0;Kematian;Maluku
2020-03-23;Maluku;0;Kematian;Maluku
2020-03-23;Papua;0;Kematian;Papua
2020-03-24;Bali;6;Terkonfirmasi;Sunda Kecil
2020-03-24;Banten;65;Terkonfirmasi;Jawa
2020-03-24;Yogyakarta;6;Terkonfirmasi;Jawa
2020-03-24;Jakarta;424;Terkonfirmasi;Jawa
2020-03-24;Jambi;1;Terkonfirmasi;Sumatera
2020-03-24;Jawa Barat;60;Terkonfirmasi;Jawa
2020-03-24;Jawa Tengah;19;Terkonfirmasi;Jawa
2020-03-24;Jawa Timur;51;Terkonfirmasi;Jawa
2020-03-24;Kalimantan Barat;3;Terkonfirmasi;Kalimantan
2020-03-24;Kalimantan Timur;11;Terkonfirmasi;Kalimantan
2020-03-24;Kalimantan Tengah;3;Terkonfirmasi;Kalimantan
2020-03-24;Kalimantan Selatan;1;Terkonfirmasi;Kalimantan
2020-03-24;Kepulauan Riau;5;Terkonfirmasi;Sumatera
2020-03-24;Nusa Tenggara Barat;1;Terkonfirmasi;Sunda Kecil
2020-03-24;Sulawesi Utara;1;Terkonfirmasi;Sulawesi
2020-03-24;Sumatera Selatan;2;Terkonfirmasi;Sumatera
2020-03-24;Sumatera Utara;7;Terkonfirmasi;Sumatera
2020-03-24;Sulawesi Tenggara;3;Terkonfirmasi;Sulawesi
2020-03-24;Sulawesi Selatan;4;Terkonfirmasi;Sulawesi
2020-03-24;Lampung;1;Terkonfirmasi;Sumatera
2020-03-24;Riau;2;Terkonfirmasi;Sumatera
2020-03-24;Maluku Utara;1;Terkonfirmasi;Maluku
2020-03-24;Maluku;1;Terkonfirmasi;Maluku
2020-03-24;Papua;3;Terkonfirmasi;Papua
2020-03-24;Bali;2;Kematian;Sunda Kecil
2020-03-24;Banten;4;Kematian;Jawa
2020-03-24;Yogyakarta;1;Kematian;Jawa
2020-03-24;Jakarta;31;Kematian;Jawa
2020-03-24;Jambi;0;Kematian;Sumatera
2020-03-24;Jawa Barat;10;Kematian;Jawa
2020-03-24;Jawa Tengah;3;Kematian;Jawa
2020-03-24;Jawa Timur;1;Kematian;Jawa
2020-03-24;Kalimantan Barat;0;Kematian;Kalimantan
2020-03-24;Kalimantan Timur;0;Kematian;Kalimantan
2020-03-24;Kalimantan Tengah;0;Kematian;Kalimantan
2020-03-24;Kalimantan Selatan;0;Kematian;Kalimantan
2020-03-24;Kepulauan Riau;1;Kematian;Sumatera
2020-03-24;Nusa Tenggara Barat;0;Kematian;Sunda Kecil
2020-03-24;Sulawesi Utara;0;Kematian;Sulawesi
2020-03-24;Sumatera Selatan;0;Kematian;Sumatera
2020-03-24;Sumatera Utara;1;Kematian;Sumatera
2020-03-24;Sulawesi Tenggara;0;Kematian;Sulawesi
2020-03-24;Sulawesi Selatan;1;Kematian;Sulawesi
2020-03-24;Lampung;0;Kematian;Sumatera
2020-03-24;Riau;0;Kematian;Sumatera
2020-03-24;Maluku Utara;0;Kematian;Maluku
2020-03-24;Maluku;0;Kematian;Maluku
2020-03-24;Papua;0;Kematian;Papua
2020-03-25;Bali;9;Terkonfirmasi;Sunda Kecil
2020-03-25;Banten;67;Terkonfirmasi;Jawa
2020-03-25;Yogyakarta;17;Terkonfirmasi;Jawa
2020-03-25;Jakarta;462;Terkonfirmasi;Jawa
2020-03-25;Jambi;1;Terkonfirmasi;Sumatera
2020-03-25;Jawa Barat;73;Terkonfirmasi;Jawa
2020-03-25;Jawa Tengah;38;Terkonfirmasi;Jawa
2020-03-25;Jawa Timur;51;Terkonfirmasi;Jawa
2020-03-25;Kalimantan Barat;3;Terkonfirmasi;Kalimantan
2020-03-25;Kalimantan Timur;11;Terkonfirmasi;Kalimantan
2020-03-25;Kalimantan Tengah;4;Terkonfirmasi;Kalimantan
